,,
,,
,,
"For the latest changes to the database, there is a detailed changelog housed on Github which contains all edits and reviews since July 27, 2020",,
"We are commited to accuracy and as such the following topics are revieewed for changes  on a weekly basis as they are the most subject to change at this time: Reopenings, Second Closures, Quarantines for Out of State Visitors, Facemasks, Unemployment, and Evictions.",,
Link to data in xlsx format:,https://github.com/USCOVIDpolicy/COVID-19-US-State-Policy-Database,
Table of Contents,,
Policy Area,Policies,Date of most recent review for continuously updated data and date of last policy change for data collected less recently
Vote By Mail,"COVID-19 is not an acceptable reason to request application for mail-in ballot unless sick or exposed (as of September 1, 2020)",9/8/2020
,"Witness or notary signature required for mail-in ballot (as of September 1, 2020)",
,Permanent mail-in ballot system,
,Automatic mail-in ballot system in response to COVID-19,
,Automatic applications sent for mail-in ballots in response to COVID-19,
,Last date of receipt of mail-in ballot request for the general election (by mail or online),
State of Emergency,State of emergency,3/16/2020
Physical Distance Closures,Closed K-12 schools,8/12/2020
,Closed day cares,
,Banned visitors to nursing homes,
,Closed non-essential businesses,
,Closed restaurants except take out,
,Closed gyms,
,Closed movie theaters,
,Closed Bars,
Stay at Home,Stay at home/ shelter in place,9/28/2020
,Religious Gatherings Exempt Without Clear Social Distance Mandate,
,Stay at home order' issued but did not specifically restrict movement of the general public,
,End/relax stay at home/shelter in place,
Reopening,Began to reopen businesses,10/2/2020
,Reopen restaurants,
,Initially reopen restaurants for outdoor dining only,
,Reopened gyms,
,Reopened movie theaters,
,Reopened hair salons/barber shops,
,Reopen Religious gatherings,
,Reopen non-essential retail,
,Reopen bars,
,Reopen daycare,
,Resumed elective medical procedures,
Second Closures,Begin to Re-Close Bars,10/2/2020
,Reclosed Bars Statewide,
,Reclose Movie Theaters Statewide,
,Reclose Gyms Statewide,
Face Masks,Mandate face mask use by all individuals in public spaces,9/25/2020
,Face mask mandate enforced by fines,
,Face mask mandate enforced by criminal charge/citation,
,No legal enforcement of face mask mandate,
,Mandate face mask use by employees in public-facing businesses,
,State ended statewide mask use by individuals in public spaces,
,Attempt by state government to prevent local governments from implementing face mask orders,
Quarantines for out of state visitors,Mandate quarantine for those entering the state from specific states,10/2/2020
,Mandate quarantine for all individuals entering the state from another state,
,Date all mandated quarantines ended,
Alcohol and Firearms,Alcohol/Liquor Stores Open,4/27/2020
,Allow restaurants to sell takeout alcohol ,
,Allow restaurants to deliver alcohol,
,Keep Firearms Sellers Open,
