county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
San Francisco,2020-03-31,67.0,69.0,,,30.0,14.0,77.0
San Francisco,2020-04-01,67.0,66.0,,,30.0,8.0,64.0
San Francisco,2020-04-02,75.0,60.0,,,32.0,11.0,58.0
San Francisco,2020-04-03,80.0,71.0,,,39.0,8.0,74.0
San Francisco,2020-04-04,80.0,65.0,,,37.0,7.0,79.0
San Francisco,2020-04-05,79.0,68.0,,,37.0,11.0,74.0
San Francisco,2020-04-06,80.0,71.0,,,34.0,9.0,71.0
San Francisco,2020-04-07,88.0,116.0,,,36.0,9.0,57.0
San Francisco,2020-04-08,90.0,116.0,,,36.0,17.0,55.0
San Francisco,2020-04-09,88.0,64.0,,,33.0,13.0,45.0
San Francisco,2020-04-10,85.0,46.0,,,32.0,12.0,125.0
San Francisco,2020-04-11,82.0,51.0,,,28.0,13.0,132.0
San Francisco,2020-04-12,92.0,44.0,,,30.0,7.0,71.0
San Francisco,2020-04-13,89.0,48.0,,,30.0,9.0,61.0
San Francisco,2020-04-14,87.0,53.0,,,28.0,5.0,69.0
San Francisco,2020-04-15,87.0,84.0,,,25.0,7.0,76.0
San Francisco,2020-04-16,84.0,35.0,,,31.0,9.0,64.0
San Francisco,2020-04-17,79.0,36.0,,,28.0,8.0,66.0
San Francisco,2020-04-18,74.0,29.0,,,27.0,7.0,75.0
San Francisco,2020-04-19,73.0,34.0,,,27.0,10.0,76.0
San Francisco,2020-04-20,79.0,27.0,,,27.0,7.0,73.0
San Francisco,2020-04-21,76.0,45.0,121.0,738.0,25.0,9.0,79.0
San Francisco,2020-04-22,75.0,17.0,92.0,738.0,28.0,3.0,74.0
San Francisco,2020-04-23,75.0,29.0,104.0,1173.0,31.0,6.0,70.0
San Francisco,2020-04-24,75.0,19.0,94.0,1173.0,30.0,5.0,108.0
San Francisco,2020-04-25,73.0,18.0,91.0,1412.0,29.0,3.0,132.0
San Francisco,2020-04-26,79.0,21.0,100.0,1412.0,31.0,3.0,126.0
San Francisco,2020-04-27,82.0,19.0,101.0,1412.0,29.0,3.0,149.0
San Francisco,2020-04-28,81.0,23.0,104.0,1412.0,27.0,9.0,132.0
San Francisco,2020-04-29,80.0,24.0,104.0,1862.0,26.0,6.0,107.0
San Francisco,2020-04-30,85.0,11.0,96.0,1887.0,32.0,1.0,100.0
San Francisco,2020-05-01,86.0,14.0,100.0,1887.0,32.0,0.0,101.0
San Francisco,2020-05-02,81.0,27.0,108.0,1915.0,29.0,7.0,101.0
San Francisco,2020-05-03,83.0,18.0,101.0,1915.0,30.0,4.0,107.0
San Francisco,2020-05-04,84.0,10.0,94.0,1887.0,26.0,0.0,118.0
San Francisco,2020-05-05,79.0,24.0,103.0,2619.0,27.0,6.0,101.0
San Francisco,2020-05-06,76.0,12.0,88.0,2619.0,26.0,4.0,113.0
San Francisco,2020-05-07,72.0,21.0,93.0,2619.0,30.0,1.0,78.0
San Francisco,2020-05-08,71.0,32.0,103.0,2619.0,28.0,7.0,92.0
San Francisco,2020-05-09,68.0,29.0,97.0,2619.0,28.0,4.0,97.0
San Francisco,2020-05-10,66.0,25.0,91.0,2619.0,25.0,9.0,102.0
San Francisco,2020-05-11,63.0,28.0,91.0,2619.0,23.0,11.0,107.0
San Francisco,2020-05-12,63.0,27.0,90.0,2619.0,23.0,4.0,100.0
San Francisco,2020-05-13,57.0,32.0,89.0,2619.0,24.0,7.0,108.0
San Francisco,2020-05-14,56.0,38.0,94.0,2619.0,20.0,10.0,111.0
San Francisco,2020-05-15,56.0,33.0,89.0,2619.0,19.0,4.0,85.0
